languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.1,Eph 1:1,0,奉上帝旨意作基督耶穌使徒的 保羅 ，寫信給在 以弗所 的 眾聖徒，就是在基督耶穌裏忠心的人。
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.2,Eph 1:2,1,願恩惠、平安 從我們的父上帝和主耶穌基督歸給你們！
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.3,Eph 1:3,2,願頌讚歸給我們主耶穌基督的父上帝。他在基督裏曾把天上各樣屬靈的福氣賜給我們。
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.4,Eph 1:4,3,因為他從創世以前，在基督裏揀選了我們，使我們在他面前成為聖潔，沒有瑕疵，滿有愛心。
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.5,Eph 1:5,4,他按著自己旨意所喜悅的 ，預定我們藉著耶穌基督得兒子的名分，
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.6,Eph 1:6,5,使他榮耀的恩典得到稱讚；這恩典是他在愛子裏白白賜給我們的。
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.7,Eph 1:7,6,我們藉著這愛子的血得蒙救贖，過犯得以赦免，這是照他豐富的恩典，
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.8,Eph 1:8,7,充充足足地賞給我們的。他以諸般的智慧聰明，
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.9,Eph 1:9,8,照自己在基督裏所立定的美意，使我們知道他旨意的奧祕，
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.10,Eph 1:10,9,要照著所安排的，在時機成熟的時候，使天上、地上、一切所有的，都在基督裏面同歸於一。
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.11,Eph 1:11,10,我們也在他裏面得了基業；這原是那位隨己意行萬事的上帝照著自己的旨意所預定的，
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.12,Eph 1:12,11,為要使我們，這些首先把希望寄託在基督裏的人，頌讚他的榮耀。
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.13,Eph 1:13,12,在基督裏你們聽見真理的道，就是那使你們得救的福音，你們也信了他，就受了所應許的聖靈為印記。
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.14,Eph 1:14,13,這聖靈是我們得基業的憑據，直等到上帝的子民得救贖，使他的榮耀得到稱讚。
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.15,Eph 1:15,14,因此，我既然聽見你們對主耶穌有信心，對眾聖徒有愛心，
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.16,Eph 1:16,15,就不住地為你們感謝上帝，禱告的時候常常提到你們，
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.17,Eph 1:17,16,求我們主耶穌基督的上帝，榮耀的父，把那賜人智慧和啟示的靈賜給你們，使你們真正認識他，
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.18,Eph 1:18,17,照亮你們心中的眼睛，使你們知道他呼召你們來得的指望是甚麼，他在聖徒中所得榮耀的基業是何等豐盛，
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.19,Eph 1:19,18,並知道他向我們這些信的人所顯的能力是何等浩大，這是照他的大能大力運行的。
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.20,Eph 1:20,19,這大能曾運行在基督身上，使他從死人中復活，又使他在天上坐在自己的右邊，
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.21,Eph 1:21,20,遠超越一切執政的、掌權的、有權能的、統治的和一切有名號的；不但是今世的，連來世的也都超越了。
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.22,Eph 1:22,21,上帝使萬有服在他的腳下，又使他為了教會作萬有之首；
zh,RCUVT,Eph,Eph,48,Eph.1,Eph 1,0,Eph.1.23,Eph 1:23,22,教會是他的身體，是那充滿萬有者所充滿的。
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.1,Eph 2:1,0,從前，你們因著自己的過犯罪惡而死了。
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.2,Eph 2:2,1,那時，你們在過犯罪惡中生活，隨從今世的風俗，順服空中掌權者的領袖，就是現今在悖逆的人心中運行的邪靈。
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.3,Eph 2:3,2,我們從前也都生活在他們當中，放縱肉體的私慾，隨著肉體和心中的意念去做，和別人一樣，生來就是該受懲罰的人。
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.4,Eph 2:4,3,然而，上帝有豐富的憐憫，因著他愛我們的大愛，
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.5,Eph 2:5,4,竟在我們因過犯而死了的時候，使我們與基督一同活過來—可見你們得救是本乎恩—
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.6,Eph 2:6,5,他又使我們在基督耶穌裏與他一同復活，一同坐在天上，
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.7,Eph 2:7,6,為要把他極豐富的恩典，就是他在基督耶穌裏向我們所施的恩慈，顯明給後來的世代。
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.8,Eph 2:8,7,你們得救是本乎恩，也因著信；這並不是出於自己，而是上帝所賜的；
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.9,Eph 2:9,8,也不是出於行為，免得有人自誇。
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.10,Eph 2:10,9,我們是他所造之物，在基督耶穌裏創造的，為要使我們行善，就是上帝早已預備好要我們做的。
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.11,Eph 2:11,10,所以，你們要記得：從前你們按肉體是外邦人，是「沒受割禮的」；這名字是那些憑人手在肉身上「受割禮的人」所取的。
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.12,Eph 2:12,11,要記得那時候，你們與基督無關，與 以色列 選民團體隔絕，在所應許的約上是局外人，而且在世上沒有指望，沒有上帝。
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.13,Eph 2:13,12,從前你們是遠離上帝的人，如今卻在基督耶穌裏，靠著他的血，已經得以親近了。
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.14,Eph 2:14,13,因為他自己是我們的和平 ，使雙方合而為一，拆毀了中間隔絕的牆，而且以自己的身體終止了冤仇，
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.15,Eph 2:15,14,廢掉那記在律法上的規條，為要使兩方藉著自己造成一個新人，促成了和平；
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.16,Eph 2:16,15,既在十字架上消滅了冤仇，就藉這十字架使雙方歸為一體，與上帝和好，
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.17,Eph 2:17,16,並且來傳和平的福音給你們遠處的人，也傳和平給那些近處的人，
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.18,Eph 2:18,17,因為我們雙方藉著他，在同一位聖靈裏得以進到父面前。
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.19,Eph 2:19,18,這樣，你們不再是外人或客旅，是與聖徒同國，是上帝家裏的人了，
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.20,Eph 2:20,19,被建造在使徒和先知的根基上，而基督耶穌自己為房角石，
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.21,Eph 2:21,20,靠著他整座房子連接得緊湊，漸漸成為在主裏的聖殿。
zh,RCUVT,Eph,Eph,48,Eph.2,Eph 2,1,Eph.2.22,Eph 2:22,21,你們也靠他同被建造，成為上帝藉著聖靈居住的所在。
zh,RCUVT,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.1,Eph 3:1,0,因此，我— 保羅 為你們外邦人作了基督耶穌 囚徒的，替你們祈禱 。
zh,RCUVT,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.2,Eph 3:2,1,想你們必曾聽見上帝賜恩給我，把關切你們的職分託付我，
zh,RCUVT,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.3,Eph 3:3,2,用啟示讓我知道福音的奧祕，正如我以前略略寫過的。
zh,RCUVT,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.4,Eph 3:4,3,你們讀了，就會知道我深深了解基督的奧祕；
zh,RCUVT,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.5,Eph 3:5,4,這奧祕在以前的世代沒有讓人知道，像如今藉著聖靈向他的聖使徒和先知啟示一樣，
zh,RCUVT,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.6,Eph 3:6,5,就是外邦人在基督耶穌裏，藉著福音，得以同為後嗣，同為一體，同為蒙應許的人。
zh,RCUVT,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.7,Eph 3:7,6,我作了這福音的僕役，是照著上帝的恩賜，是照他運行的大能賜給我的。
zh,RCUVT,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.8,Eph 3:8,7,雖然我比眾聖徒中最小的還小，他還賜我這恩典，讓我把基督那測不透的豐富傳給外邦人，
zh,RCUVT,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.9,Eph 3:9,8,又使眾人都明白 甚麼是歷代以來隱藏在創造萬物之上帝裏的奧祕，
zh,RCUVT,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.10,Eph 3:10,9,為要在現今藉著教會使天上執政的、掌權的知道上帝百般的智慧。
zh,RCUVT,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.11,Eph 3:11,10,這是照著上帝在我們主基督耶穌裏所完成的永恆的計劃。
zh,RCUVT,Eph,Eph,48,Eph.3,Eph 3,2,Eph.3.12,Eph 3:12,11,我們因信耶穌 ，就在他裏面放膽無懼，滿有自信地進到上帝面前。
