languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.1,Amos 1:1,0,"Слова Амоса, одного из пастухов Фекойских, которые он [слышал] в видении об Израиле во дни Озии, царя Иудейского, и во дни Иеровоама, сына Иоасова, царя Израильского, за два года перед землетрясением."
ru,RUS_SYNODAL,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.2,Amos 1:2,1,"И сказал он: Господь возгремит с Сиона и даст глас Свой из Иерусалима, и восплачут хижины пастухов, и иссохнет вершина Кармила."
ru,RUS_SYNODAL,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.3,Amos 1:3,2,"Так говорит Господь: за три преступления Дамаска и за четыре не пощажу его, потому что они молотили Галаад железными молотилами."
ru,RUS_SYNODAL,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.4,Amos 1:4,3,"И пошлю огонь на дом Азаила, и пожрет он чертоги Венадада."
ru,RUS_SYNODAL,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.5,Amos 1:5,4,"И сокрушу затворы Дамаска, и истреблю жителей долины Авен и держащего скипетр – из дома Еденова, и пойдет народ Арамейский в плен в Кир, говорит Господь."
ru,RUS_SYNODAL,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.6,Amos 1:6,5,"Так говорит Господь: за три преступления Газы и за четыре не пощажу ее, потому что они вывели всех в плен, чтобы предать их Едому."
ru,RUS_SYNODAL,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.7,Amos 1:7,6,"И пошлю огонь в стены Газы, – и пожрет чертоги ее."
ru,RUS_SYNODAL,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.8,Amos 1:8,7,"И истреблю жителей Азота и держащего скипетр в Аскалоне, и обращу руку Мою на Екрон, и погибнет остаток Филистимлян, говорит Господь Бог."
ru,RUS_SYNODAL,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.9,Amos 1:9,8,"Так говорит Господь: за три преступления Тира и за четыре не пощажу его, потому что они передали всех пленных Едому и не вспомнили братского союза."
ru,RUS_SYNODAL,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.10,Amos 1:10,9,"Пошлю огонь в стены Тира, и пожрет чертоги его."
ru,RUS_SYNODAL,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.11,Amos 1:11,10,"Так говорит Господь: за три преступления Едома и за четыре не пощажу его, потому что он преследовал брата своего мечом, подавил чувства родства, свирепствовал постоянно во гневе своем и всегда сохранял ярость свою."
ru,RUS_SYNODAL,Amos,Amos,29,Amos.1,Amos 1,0,Amos.1.12,Amos 1:12,11,"И пошлю огонь на Феман, и пожрет чертоги Восора."
