languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.1,Jas 1:1,0,"James, a servant of God and of the Lord Jesus Christ, To the twelve tribes scattered among the nations: Greetings."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.2,Jas 1:2,1,"Consider it pure joy, my brothers, whenever you face trials of many kinds,"
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.3,Jas 1:3,2,because you know that the testing of your faith develops perseverance.
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.4,Jas 1:4,3,"Perseverance must finish its work so that you may be mature and complete, not lacking anything."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.5,Jas 1:5,4,"If any of you lacks wisdom, he should ask God, who gives generously to all without finding fault, and it will be given to him."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.6,Jas 1:6,5,"But when he asks, he must believe and not doubt, because he who doubts is like a wave of the sea, blown and tossed by the wind."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.7,Jas 1:7,6,That man should not think he will receive anything from the Lord;
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.8,Jas 1:8,7,"he is a double-minded man, unstable in all he does."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.9,Jas 1:9,8,The brother in humble circumstances ought to take pride in his high position.
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.10,Jas 1:10,9,"But the one who is rich should take pride in his low position, because he will pass away like a wild flower."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.11,Jas 1:11,10,"For the sun rises with scorching heat and withers the plant; its blossom falls and its beauty is destroyed. In the same way, the rich man will fade away even while he goes about his business."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.12,Jas 1:12,11,"Blessed is the man who perseveres under trial, because when he has stood the test, he will receive the crown of life that God has promised to those who love him."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.13,Jas 1:13,12,"When tempted, no one should say, ""God is tempting me."" For God cannot be tempted by evil, nor does he tempt anyone;"
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.14,Jas 1:14,13,"but each one is tempted when, by his own evil desire, he is dragged away and enticed."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.15,Jas 1:15,14,"Then, after desire has conceived, it gives birth to sin; and sin, when it is full-grown, gives birth to death."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.16,Jas 1:16,15,"Don't be deceived, my dear brothers."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.17,Jas 1:17,16,"Every good and perfect gift is from above, coming down from the Father of the heavenly lights, who does not change like shifting shadows."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.18,Jas 1:18,17,"He chose to give us birth through the word of truth, that we might be a kind of firstfruits of all he created."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.19,Jas 1:19,18,"My dear brothers, take note of this: Everyone should be quick to listen, slow to speak and slow to become angry,"
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.20,Jas 1:20,19,for man's anger does not bring about the righteous life that God desires.
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.21,Jas 1:21,20,"Therefore, get rid of all moral filth and the evil that is so prevalent and humbly accept the word planted in you, which can save you."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.22,Jas 1:22,21,"Do not merely listen to the word, and so deceive yourselves. Do what it says."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.23,Jas 1:23,22,Anyone who listens to the word but does not do what it says is like a man who looks at his face in a mirror
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.24,Jas 1:24,23,"and, after looking at himself, goes away and immediately forgets what he looks like."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.25,Jas 1:25,24,"But the man who looks intently into the perfect law that gives freedom, and continues to do this, not forgetting what he has heard, but doing it--he will be blessed in what he does."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.26,Jas 1:26,25,"If anyone considers himself religious and yet does not keep a tight rein on his tongue, he deceives himself and his religion is worthless."
en,NIV,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.27,Jas 1:27,26,Religion that God our Father accepts as pure and faultless is this: to look after orphans and widows in their distress and to keep oneself from being polluted by the world.
