languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.1,Ruth 1:1,0,"In the days when the judges ruled there was a famine in the land, and a man of Bethlehem in Judah went to sojourn in the country of Moab, he and his wife and his two sons."
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.2,Ruth 1:2,1,"The name of the man was Elimelech and the name of his wife Naomi, and the names of his two sons were Mahlon and Chilion. They were Ephrathites from Bethlehem in Judah. They went into the country of Moab and remained there."
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.3,Ruth 1:3,2,"But Elimelech, the husband of Naomi, died, and she was left with her two sons."
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.4,Ruth 1:4,3,"These took Moabite wives; the name of the one was Orpah and the name of the other Ruth. They lived there about ten years,"
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.5,Ruth 1:5,4,"and both Mahlon and Chilion died, so that the woman was left without her two sons and her husband."
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.6,Ruth 1:6,5,"Then she arose with her daughters-in-law to return from the country of Moab, for she had heard in the fields of Moab that the LORD had visited his people and given them food."
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.7,Ruth 1:7,6,"So she set out from the place where she was with her two daughters-in-law, and they went on the way to return to the land of Judah."
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.8,Ruth 1:8,7,"But Naomi said to her two daughters-in-law, ""Go, return each of you to her mother's house. May the LORD deal kindly with you, as you have dealt with the dead and with me."
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.9,Ruth 1:9,8,"The LORD grant that you may find rest, each of you in the house of her husband!"" Then she kissed them, and they lifted up their voices and wept."
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.10,Ruth 1:10,9,"And they said to her, ""No, we will return with you to your people."""
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.11,Ruth 1:11,10,"But Naomi said, ""Turn back, my daughters; why will you go with me? Have I yet sons in my womb that they may become your husbands?"
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.12,Ruth 1:12,11,"Turn back, my daughters; go your way, for I am too old to have a husband. If I should say I have hope, even if I should have a husband this night and should bear sons,"
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.13,Ruth 1:13,12,"would you therefore wait till they were grown? Would you therefore refrain from marrying? No, my daughters, for it is exceedingly bitter to me for your sake that the hand of the LORD has gone out against me."""
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.14,Ruth 1:14,13,"Then they lifted up their voices and wept again. And Orpah kissed her mother-in-law, but Ruth clung to her."
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.15,Ruth 1:15,14,"And she said, ""See, your sister-in-law has gone back to her people and to her gods; return after your sister-in-law."""
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.16,Ruth 1:16,15,"But Ruth said, ""Do not urge me to leave you or to return from following you. For where you go I will go, and where you lodge I will lodge. Your people shall be my people, and your God my God."
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.17,Ruth 1:17,16,"Where you die I will die, and there will I be buried. May the LORD do so to me and more also if anything but death parts me from you."""
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.18,Ruth 1:18,17,"And when Naomi saw that she was determined to go with her, she said no more."
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.19,Ruth 1:19,18,"So the two of them went on until they came to Bethlehem. And when they came to Bethlehem, the whole town was stirred because of them. And the women said, ""Is this Naomi?"""
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.20,Ruth 1:20,19,"She said to them, ""Do not call me Naomi; call me Mara, for the Almighty has dealt very bitterly with me."
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.21,Ruth 1:21,20,"I went away full, and the LORD has brought me back empty. Why call me Naomi, when the LORD has testified against me and the Almighty has brought calamity upon me?"""
en,ESV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.22,Ruth 1:22,21,"So Naomi returned, and Ruth the Moabite her daughter-in-law with her, who returned from the country of Moab. And they came to Bethlehem at the beginning of barley harvest."
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.1,Ruth 2:1,0,"Now Naomi had a relative of her husband's, a worthy man of the clan of Elimelech, whose name was Boaz."
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.2,Ruth 2:2,1,"And Ruth the Moabite said to Naomi, ""Let me go to the field and glean among the ears of grain after him in whose sight I shall find favor."" And she said to her, ""Go, my daughter."""
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.3,Ruth 2:3,2,"So she set out and went and gleaned in the field after the reapers, and she happened to come to the part of the field belonging to Boaz, who was of the clan of Elimelech."
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.4,Ruth 2:4,3,"And behold, Boaz came from Bethlehem. And he said to the reapers, ""The LORD be with you!"" And they answered, ""The LORD bless you."""
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.5,Ruth 2:5,4,"Then Boaz said to his young man who was in charge of the reapers, ""Whose young woman is this?"""
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.6,Ruth 2:6,5,"And the servant who was in charge of the reapers answered, ""She is the young Moabite woman, who came back with Naomi from the country of Moab."
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.7,Ruth 2:7,6,"She said, 'Please let me glean and gather among the sheaves after the reapers.' So she came, and she has continued from early morning until now, except for a short rest."""
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.8,Ruth 2:8,7,"Then Boaz said to Ruth, ""Now, listen, my daughter, do not go to glean in another field or leave this one, but keep close to my young women."
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.9,Ruth 2:9,8,"Let your eyes be on the field that they are reaping, and go after them. Have I not charged the young men not to touch you? And when you are thirsty, go to the vessels and drink what the young men have drawn."""
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.10,Ruth 2:10,9,"Then she fell on her face, bowing to the ground, and said to him, ""Why have I found favor in your eyes, that you should take notice of me, since I am a foreigner?"""
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.11,Ruth 2:11,10,"But Boaz answered her, ""All that you have done for your mother-in-law since the death of your husband has been fully told to me, and how you left your father and mother and your native land and came to a people that you did not know before."
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.12,Ruth 2:12,11,"The LORD repay you for what you have done, and a full reward be given you by the LORD, the God of Israel, under whose wings you have come to take refuge!"""
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.13,Ruth 2:13,12,"Then she said, ""I have found favor in your eyes, my lord, for you have comforted me and spoken kindly to your servant, though I am not one of your servants."""
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.14,Ruth 2:14,13,"And at mealtime Boaz said to her, ""Come here and eat some bread and dip your morsel in the wine."" So she sat beside the reapers, and he passed to her roasted grain. And she ate until she was satisfied, and she had some left over."
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.15,Ruth 2:15,14,"When she rose to glean, Boaz instructed his young men, saying, ""Let her glean even among the sheaves, and do not reproach her."
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.16,Ruth 2:16,15,"And also pull out some from the bundles for her and leave it for her to glean, and do not rebuke her."""
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.17,Ruth 2:17,16,"So she gleaned in the field until evening. Then she beat out what she had gleaned, and it was about an ephah of barley."
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.18,Ruth 2:18,17,And she took it up and went into the city. Her mother-in-law saw what she had gleaned. She also brought out and gave her what food she had left over after being satisfied.
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.19,Ruth 2:19,18,"And her mother-in-law said to her, ""Where did you glean today? And where have you worked? Blessed be the man who took notice of you."" So she told her mother-in-law with whom she had worked and said, ""The man's name with whom I worked today is Boaz."""
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.20,Ruth 2:20,19,"And Naomi said to her daughter-in-law, ""May he be blessed by the LORD, whose kindness has not forsaken the living or the dead!"" Naomi also said to her, ""The man is a close relative of ours, one of our redeemers."""
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.21,Ruth 2:21,20,"And Ruth the Moabite said, ""Besides, he said to me, 'You shall keep close by my young men until they have finished all my harvest.'"""
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.22,Ruth 2:22,21,"And Naomi said to Ruth, her daughter-in-law, ""It is good, my daughter, that you go out with his young women, lest in another field you be assaulted."""
en,ESV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.23,Ruth 2:23,22,"So she kept close to the young women of Boaz, gleaning until the end of the barley and wheat harvests. And she lived with her mother-in-law."
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.1,Ruth 3:1,0,"Then Naomi her mother-in-law said to her, ""My daughter, should I not seek rest for you, that it may be well with you?"
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.2,Ruth 3:2,1,"Is not Boaz our relative, with whose young women you were? See, he is winnowing barley tonight at the threshing floor."
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.3,Ruth 3:3,2,"Wash therefore and anoint yourself, and put on your cloak and go down to the threshing floor, but do not make yourself known to the man until he has finished eating and drinking."
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.4,Ruth 3:4,3,"But when he lies down, observe the place where he lies. Then go and uncover his feet and lie down, and he will tell you what to do."""
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.5,Ruth 3:5,4,"And she replied, ""All that you say I will do."""
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.6,Ruth 3:6,5,So she went down to the threshing floor and did just as her mother-in-law had commanded her.
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.7,Ruth 3:7,6,"And when Boaz had eaten and drunk, and his heart was merry, he went to lie down at the end of the heap of grain. Then she came softly and uncovered his feet and lay down."
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.8,Ruth 3:8,7,"At midnight the man was startled and turned over, and behold, a woman lay at his feet!"
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.9,Ruth 3:9,8,"He said, ""Who are you?"" And she answered, ""I am Ruth, your servant. Spread your wings over your servant, for you are a redeemer."""
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.10,Ruth 3:10,9,"And he said, ""May you be blessed by the LORD, my daughter. You have made this last kindness greater than the first in that you have not gone after young men, whether poor or rich."
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.11,Ruth 3:11,10,"And now, my daughter, do not fear. I will do for you all that you ask, for all my fellow townsmen know that you are a worthy woman."
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.12,Ruth 3:12,11,And now it is true that I am a redeemer. Yet there is a redeemer nearer than I.
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.13,Ruth 3:13,12,"Remain tonight, and in the morning, if he will redeem you, good; let him do it. But if he is not willing to redeem you, then, as the LORD lives, I will redeem you. Lie down until the morning."""
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.14,Ruth 3:14,13,"So she lay at his feet until the morning, but arose before one could recognize another. And he said, ""Let it not be known that the woman came to the threshing floor."""
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.15,Ruth 3:15,14,"And he said, ""Bring the garment you are wearing and hold it out."" So she held it, and he measured out six measures of barley and put it on her. Then she went into the city."
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.16,Ruth 3:16,15,"And when she came to her mother-in-law, she said, ""How did you fare, my daughter?"" Then she told her all that the man had done for her,"
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.17,Ruth 3:17,16,"saying, ""These six measures of barley he gave to me, for he said to me, 'You must not go back empty-handed to your mother-in-law.'"""
en,ESV,Ruth,Ruth,7,Ruth.3,Ruth 3,2,Ruth.3.18,Ruth 3:18,17,"She replied, ""Wait, my daughter, until you learn how the matter turns out, for the man will not rest but will settle the matter today."""
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.1,Ruth 4:1,0,"Now Boaz had gone up to the gate and sat down there. And behold, the redeemer, of whom Boaz had spoken, came by. So Boaz said, ""Turn aside, friend; sit down here."" And he turned aside and sat down."
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.2,Ruth 4:2,1,"And he took ten men of the elders of the city and said, ""Sit down here."" So they sat down."
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.3,Ruth 4:3,2,"Then he said to the redeemer, ""Naomi, who has come back from the country of Moab, is selling the parcel of land that belonged to our relative Elimelech."
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.4,Ruth 4:4,3,"So I thought I would tell you of it and say, 'Buy it in the presence of those sitting here and in the presence of the elders of my people.' If you will redeem it, redeem it. But if you will not, tell me, that I may know, for there is no one besides you to redeem it, and I come after you."" And he said, ""I will redeem it."""
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.5,Ruth 4:5,4,"Then Boaz said, ""The day you buy the field from the hand of Naomi, you also acquire Ruth the Moabite, the widow of the dead, in order to perpetuate the name of the dead in his inheritance."""
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.6,Ruth 4:6,5,"Then the redeemer said, ""I cannot redeem it for myself, lest I impair my own inheritance. Take my right of redemption yourself, for I cannot redeem it."""
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.7,Ruth 4:7,6,"Now this was the custom in former times in Israel concerning redeeming and exchanging: to confirm a transaction, the one drew off his sandal and gave it to the other, and this was the manner of attesting in Israel."
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.8,Ruth 4:8,7,"So when the redeemer said to Boaz, ""Buy it for yourself,"" he drew off his sandal."
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.9,Ruth 4:9,8,"Then Boaz said to the elders and all the people, ""You are witnesses this day that I have bought from the hand of Naomi all that belonged to Elimelech and all that belonged to Chilion and to Mahlon."
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.10,Ruth 4:10,9,"Also Ruth the Moabite, the widow of Mahlon, I have bought to be my wife, to perpetuate the name of the dead in his inheritance, that the name of the dead may not be cut off from among his brothers and from the gate of his native place. You are witnesses this day."""
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.11,Ruth 4:11,10,"Then all the people who were at the gate and the elders said, ""We are witnesses. May the LORD make the woman, who is coming into your house, like Rachel and Leah, who together built up the house of Israel. May you act worthily in Ephrathah and be renowned in Bethlehem,"
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.12,Ruth 4:12,11,"and may your house be like the house of Perez, whom Tamar bore to Judah, because of the offspring that the LORD will give you by this young woman."""
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.13,Ruth 4:13,12,"So Boaz took Ruth, and she became his wife. And he went in to her, and the LORD gave her conception, and she bore a son."
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.14,Ruth 4:14,13,"Then the women said to Naomi, ""Blessed be the LORD, who has not left you this day without a redeemer, and may his name be renowned in Israel!"
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.15,Ruth 4:15,14,"He shall be to you a restorer of life and a nourisher of your old age, for your daughter-in-law who loves you, who is more to you than seven sons, has given birth to him."""
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.16,Ruth 4:16,15,Then Naomi took the child and laid him on her lap and became his nurse.
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.17,Ruth 4:17,16,"And the women of the neighborhood gave him a name, saying, ""A son has been born to Naomi."" They named him Obed. He was the father of Jesse, the father of David."
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.18,Ruth 4:18,17,"Now these are the generations of Perez: Perez fathered Hezron,"
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.19,Ruth 4:19,18,"Hezron fathered Ram, Ram fathered Amminadab,"
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.20,Ruth 4:20,19,"Amminadab fathered Nahshon, Nahshon fathered Salmon,"
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.21,Ruth 4:21,20,"Salmon fathered Boaz, Boaz fathered Obed,"
en,ESV,Ruth,Ruth,7,Ruth.4,Ruth 4,3,Ruth.4.22,Ruth 4:22,21,"Obed fathered Jesse, and Jesse fathered David."
