languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
ru,RUS_SYNODAL,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.1,Nah 1:1,0,Пророчество о Ниневии; книга видений Наума Елкосеянина.
ru,RUS_SYNODAL,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.2,Nah 1:2,1,Господь есть Бог ревнитель и мститель; мститель Господь и страшен в гневе: мстит Господь врагам Своим и не пощадит противников Своих.
ru,RUS_SYNODAL,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.3,Nah 1:3,2,"Господь долготерпелив и велик могуществом, и не оставляет без наказания; в вихре и в буре шествие Господа, облако – пыль от ног Его."
ru,RUS_SYNODAL,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.4,Nah 1:4,3,"Запретит Он морю, и оно высыхает, и все реки иссякают; вянет Васан и Кармил, и блекнет цвет на Ливане."
ru,RUS_SYNODAL,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.5,Nah 1:5,4,"Горы трясутся пред Ним, и холмы тают, и земля колеблется пред лицем Его, и вселенная и все живущие в ней."
ru,RUS_SYNODAL,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.6,Nah 1:6,5,Пред негодованием Его кто устоит? И кто стерпит пламя гнева Его? Гнев Его разливается как огонь; скалы распадаются пред Ним.
ru,RUS_SYNODAL,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.7,Nah 1:7,6,"Благ Господь, убежище в день скорби, и знает надеющихся на Него."
ru,RUS_SYNODAL,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.8,Nah 1:8,7,"Но всепотопляющим наводнением разрушит до основания [Ниневию], и врагов Его постигнет мрак."
ru,RUS_SYNODAL,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.9,Nah 1:9,8,"Что умышляете вы против Господа? Он совершит истребление, и бедствие уже не повторится,"
ru,RUS_SYNODAL,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.10,Nah 1:10,9,"ибо сплетшиеся между собою как терновник и упившиеся как пьяницы, они пожраны будут совершенно, как сухая солома."
ru,RUS_SYNODAL,Nah,Nah,33,Nah.1,Nah 1,0,Nah.1.11,Nah 1:11,10,"Из тебя произошел умысливший злое против Господа, составивший совет нечестивый."
