languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.1,Jas 1:1,0,上帝和主耶穌基督的僕人 雅各 問候散居在各處的十二個支派的人。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.2,Jas 1:2,1,我的弟兄們，你們遭受各種試煉時，都要認為是大喜樂，
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.3,Jas 1:3,2,因為知道你們的信心經過考驗，就生忍耐。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.4,Jas 1:4,3,但要讓忍耐發揮完全的功用，使你們能又完全又完整，一無所缺。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.5,Jas 1:5,4,你們中間若有缺少智慧的，該求那厚賜與眾人又不斥責人的上帝，上帝必賜給他。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.6,Jas 1:6,5,只要憑著信心求，一點也不疑惑；因為那疑惑的人，就像海中的波浪被風吹動翻騰。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.7,Jas 1:7,6,這樣的人不要想從主那裏得到甚麼。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.8,Jas 1:8,7,三心二意的人，在他一切所行的路上都搖擺不定。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.9,Jas 1:9,8,卑微的弟兄要因高升而誇耀，
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.10,Jas 1:10,9,富足的卻要因被降卑而誇耀，因為富足的人要消逝，如同草上的花一樣。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.11,Jas 1:11,10,太陽出來，熱風颳起，草就枯乾，花也凋謝，它美麗的樣子就消失了；那富足的人在他一生的奔波中也要這樣衰殘。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.12,Jas 1:12,11,忍受試煉的人有福了，因為他經過考驗以後必得生命的冠冕，這是主應許給愛他之人的。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.13,Jas 1:13,12,人被誘惑，不可說：「我是被上帝誘惑」；因為上帝是不被惡誘惑的，他也不誘惑人。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.14,Jas 1:14,13,但每一個人被誘惑是因自己的私慾牽引而被誘惑的。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.15,Jas 1:15,14,私慾既懷了胎，就生出罪來；罪既長成，就生出死來。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.16,Jas 1:16,15,我親愛的弟兄們，不要被欺騙了。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.17,Jas 1:17,16,各樣美善的恩澤和各樣完美的賞賜都是從上頭來的，從眾光之父那裏降下來的；在他並沒有改變，也沒有轉動的影兒。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.18,Jas 1:18,17,他按自己的旨意，用真理的道生了我們，使我們在他所造的萬物中成為初熟的果子。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.19,Jas 1:19,18,我親愛的弟兄們，你們要明白：你們每一個人要快快地聽，慢慢地說，慢慢地動怒，
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.20,Jas 1:20,19,因為人的怒氣並不能實現上帝的義。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.21,Jas 1:21,20,所以，你們要除去一切的污穢和累積的惡毒，要存溫柔的心領受所栽種的道，就是能救你們靈魂的道。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.22,Jas 1:22,21,但是，你們要作行道的人，不要只作聽道的人，自己欺騙自己。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.23,Jas 1:23,22,因為只聽道而不行道的，就像人對著鏡子觀看自己本來的面目，
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.24,Jas 1:24,23,注視後，就離開，立刻忘了自己的相貌如何。
zh,RCUVT,Jas,Jas,58,Jas.1,Jas 1,0,Jas.1.25,Jas 1:25,24,惟有查看那完美、使人自由的律法，並且時常遵守的，他不是聽了就忘，而是切實行出來，這樣的人在所行的事上必然蒙福。
