languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,ESV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.1,Jer 1:1,0,"The words of Jeremiah, the son of Hilkiah, one of the priests who were in Anathoth in the land of Benjamin,"
en,ESV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.2,Jer 1:2,1,"to whom the word of the LORD came in the days of Josiah the son of Amon, king of Judah, in the thirteenth year of his reign."
en,ESV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.3,Jer 1:3,2,"It came also in the days of Jehoiakim the son of Josiah, king of Judah, and until the end of the eleventh year of Zedekiah, the son of Josiah, king of Judah, until the captivity of Jerusalem in the fifth month."
en,ESV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.4,Jer 1:4,3,"Now the word of the LORD came to me, saying,"
en,ESV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.5,Jer 1:5,4,"""Before I formed you in the womb I knew you, and before you were born I consecrated you; I appointed you a prophet to the nations."""
en,ESV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.6,Jer 1:6,5,"Then I said, ""Ah, Lord GOD! Behold, I do not know how to speak, for I am only a youth."""
en,ESV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.7,Jer 1:7,6,"But the LORD said to me, ""Do not say, 'I am only a youth'; for to all to whom I send you, you shall go, and whatever I command you, you shall speak."
en,ESV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.8,Jer 1:8,7,"Do not be afraid of them, for I am with you to deliver you, declares the LORD."""
en,ESV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.9,Jer 1:9,8,"Then the LORD put out his hand and touched my mouth. And the LORD said to me, ""Behold, I have put my words in your mouth."
en,ESV,Jer,Jer,23,Jer.1,Jer 1,0,Jer.1.10,Jer 1:10,9,"See, I have set you this day over nations and over kingdoms, to pluck up and to break down, to destroy and to overthrow, to build and to plant."""
