languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVSS,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.1,Ps 1:1,0,不从恶人的计谋， 不站罪人的道路， 不坐傲慢人的座位， 惟喜爱耶和华的律法， 昼夜思想 他的律法； 这人便为有福！
zh,RCUVSS,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.2,Ps 1:2,1,
zh,RCUVSS,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.3,Ps 1:3,2,他要像一棵树栽在溪水旁， 按时候结果子， 叶子也不枯干。 凡他所做的尽都顺利。
zh,RCUVSS,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.4,Ps 1:4,3,恶人并不是这样， 却像糠秕被风吹散。
zh,RCUVSS,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.5,Ps 1:5,4,因此，当审判的时候恶人必站立不住， 罪人在义人的会众中也是如此。
zh,RCUVSS,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.6,Ps 1:6,5,因为耶和华知道义人的道路， 恶人的道路却必灭亡。
zh,RCUVSS,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.1,Ps 2:1,0,列国为什么争闹？ 万民为什么图谋虚妄？
zh,RCUVSS,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.2,Ps 2:2,1,世上的君王都站稳， 臣宰一同算计， 要对抗耶和华， 对抗他的受膏者：
zh,RCUVSS,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.3,Ps 2:3,2,“我们要挣脱他们的捆绑， 脱去他们的绳索。”
zh,RCUVSS,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.4,Ps 2:4,3,那坐在天上的必讥笑， 主必嗤笑他们。
zh,RCUVSS,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.5,Ps 2:5,4,那时，他要在怒中责备他们， 在烈怒中惊吓他们：
zh,RCUVSS,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.6,Ps 2:6,5,“我已经在 锡安 －我的圣山 膏立了我的君王。”
zh,RCUVSS,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.7,Ps 2:7,6,我要传耶和华的圣旨， 他对我说：“你是我的儿子， 我今日生了你。
zh,RCUVSS,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.8,Ps 2:8,7,你求我，我就将列国赐你为基业， 将地极赐你为田产。
zh,RCUVSS,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.9,Ps 2:9,8,你必用铁杖打破他们， 把他们如同陶匠的瓦器摔碎。”
zh,RCUVSS,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.10,Ps 2:10,9,现在，君王啊，应当谨慎！ 世上的审判官哪，要听劝戒！
zh,RCUVSS,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.11,Ps 2:11,10,当存敬畏的心事奉耶和华， 又当战兢而快乐。
zh,RCUVSS,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.12,Ps 2:12,11,当亲吻儿子，免得他发怒， 你们就在半途中灭亡， 因为他的怒气快要发作。 凡投靠他的，都是有福的。
zh,RCUVSS,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.1,Ps 3:1,0,耶和华啊，我的敌人何其增多！ 许多人起来攻击我。
zh,RCUVSS,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.2,Ps 3:2,1,许多人议论我： “他得不到上帝的帮助。”（细拉）
zh,RCUVSS,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.3,Ps 3:3,2,但你－耶和华是我四围的盾牌， 是我的荣耀，又是令我抬起头来的。
zh,RCUVSS,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.4,Ps 3:4,3,我用我的声音求告耶和华， 他就从他的圣山上应允我。（细拉）
zh,RCUVSS,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.5,Ps 3:5,4,我躺下，我睡觉，我醒来， 耶和华都保佑我。
zh,RCUVSS,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.6,Ps 3:6,5,虽有成万的百姓周围攻击我， 我也不惧怕。
zh,RCUVSS,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.7,Ps 3:7,6,耶和华啊，求你兴起！ 我的上帝啊，求你救我！ 因为你打断我所有仇敌的腮骨， 敲碎了恶人的牙齿。
zh,RCUVSS,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.8,Ps 3:8,7,救恩属于耶和华； 愿你赐福给你的百姓。（细拉）
zh,RCUVSS,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.1,Ps 4:1,0,显我为义的上帝啊， 我呼求的时候，求你应允我！ 我在困境中，你曾使我宽畅； 求你怜悯我，听我的祷告！
zh,RCUVSS,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.2,Ps 4:2,1,你们这些人哪，你们把我的尊荣变为羞辱，要到几时呢？ 你们喜爱虚妄，寻找虚假，要到几时呢？ （细拉）
zh,RCUVSS,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.3,Ps 4:3,2,你们要知道，耶和华已将虔诚人分别出来归他自己； 我求告耶和华，他必垂听。
zh,RCUVSS,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.4,Ps 4:4,3,应当畏惧，不可犯罪； 在床上的时候，要心里思想，并要安静。（细拉）
zh,RCUVSS,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.5,Ps 4:5,4,当献上公义的祭， 又当倚靠耶和华。
zh,RCUVSS,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.6,Ps 4:6,5,有许多人说：“谁能指示我们什么好处？ 耶和华啊，求你用你脸上的光照耀我们。”
zh,RCUVSS,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.7,Ps 4:7,6,你使我心里喜乐， 胜过那丰收五谷新酒的人。
zh,RCUVSS,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.8,Ps 4:8,7,我必平安地躺下睡觉， 因为独有你－耶和华使我安然居住。
zh,RCUVSS,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.1,Ps 5:1,0,耶和华啊，求你侧耳听我的言语， 顾念我的心思！
zh,RCUVSS,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.2,Ps 5:2,1,我的王，我的上帝啊，求你留心听我呼求的声音！ 因为我向你祈祷。
zh,RCUVSS,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.3,Ps 5:3,2,耶和华啊，早晨你必听我的声音； 早晨我要向你陈明我的心思，并要警醒。
zh,RCUVSS,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.4,Ps 5:4,3,因为你不是喜爱邪恶的上帝， 恶人不能与你同住。
zh,RCUVSS,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.5,Ps 5:5,4,狂傲的人不能站在你眼前； 凡作恶的，都是你所恨恶的。
zh,RCUVSS,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.6,Ps 5:6,5,说谎言的，你必灭绝； 好流人血、玩弄诡诈的，都为耶和华所憎恶。
zh,RCUVSS,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.7,Ps 5:7,6,至于我，我必凭你丰盛的慈爱进入你的居所， 我要存敬畏你的心向你的圣殿下拜。
zh,RCUVSS,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.8,Ps 5:8,7,耶和华啊，求你因我仇敌的缘故，凭你的公义引领我， 使你的道路在我面前正直。
zh,RCUVSS,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.9,Ps 5:9,8,因为他们口中没有诚实， 心里充满邪恶， 他们的喉咙是敞开的坟墓； 他们用舌头谄媚人。
zh,RCUVSS,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.10,Ps 5:10,9,上帝啊，求你定他们的罪！ 愿他们因自己的计谋跌倒； 求你因他们过犯众多赶逐他们， 因为他们背叛了你。
zh,RCUVSS,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.11,Ps 5:11,10,凡投靠你的，愿他们喜乐，时常欢呼， 因为你庇护他们； 又愿那爱你名的人都靠你欢欣。
zh,RCUVSS,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.12,Ps 5:12,11,耶和华啊，因为你必赐福给义人， 你必用恩惠如同盾牌四面护卫他。
zh,RCUVSS,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.1,Ps 6:1,0,耶和华啊，求你不要在怒中责备我， 不要在烈怒中惩罚我！
zh,RCUVSS,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.2,Ps 6:2,1,耶和华啊，求你怜悯我，因为我软弱。 耶和华啊，求你医治我，因为我的骨头战抖。
zh,RCUVSS,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.3,Ps 6:3,2,我的心也大大惊惶。 耶和华啊，你要等到几时呢？
zh,RCUVSS,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.4,Ps 6:4,3,耶和华啊，求你转回搭救我， 因你的慈爱拯救我。
zh,RCUVSS,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.5,Ps 6:5,4,因为死了的人不会记念你， 在阴间有谁称谢你？
zh,RCUVSS,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.6,Ps 6:6,5,我因呻吟而困乏； 我每夜流泪，使床铺漂起， 把褥子湿透。
zh,RCUVSS,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.7,Ps 6:7,6,我的眼睛因忧愁而昏花， 因敌人的缘故，我的眼目模糊不清。
zh,RCUVSS,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.8,Ps 6:8,7,你们所有作恶的人，离开我吧！ 因为耶和华听了我哀哭的声音。
zh,RCUVSS,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.9,Ps 6:9,8,耶和华听了我的恳求， 耶和华必接纳我的祷告。
zh,RCUVSS,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.10,Ps 6:10,9,我所有的仇敌都必羞愧，大大惊惶； 转眼之间，他们要羞愧撤退。
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.1,Ps 7:1,0,耶和华－我的上帝啊，我投靠你！ 求你救我脱离所有追赶我的人，搭救我出来！
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.2,Ps 7:2,1,免得他们像狮子撕裂我， 甚至撕碎，无人搭救。
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.3,Ps 7:3,2,耶和华－我的上帝啊，我若行了这事， 若有罪孽在我手里，
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.4,Ps 7:4,3,我若以恶回报我的朋友， 连那无故与我为敌的，我也救了他 ，
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.5,Ps 7:5,4,就任凭仇敌追赶我，直到追上， 把我的性命踏在地上， 使我的荣耀归于灰尘。（细拉）
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.6,Ps 7:6,5,耶和华啊，求你在怒中起来， 挺身而立，抵挡我敌人的烈怒！ 求你为我兴起！你已经发令施行审判。
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.7,Ps 7:7,6,愿万民聚集环绕你！ 愿你居高位统治他们！
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.8,Ps 7:8,7,耶和华向万民施行审判； 耶和华啊，求你按我的公义 和我心中的纯正判断我。
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.9,Ps 7:9,8,愿恶人的恶断绝！ 愿你坚立义人！ 因为公义的上帝察验人的心肠肺腑。
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.10,Ps 7:10,9,上帝是我的盾牌， 他拯救心里正直的人。
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.11,Ps 7:11,10,上帝是公义的审判者， 又是天天向恶人发怒的上帝。
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.12,Ps 7:12,11,若有人不回头，他的刀必磨快， 弓必上弦，预备妥当。
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.13,Ps 7:13,12,他也预备了致死的兵器， 他所射的是火箭。
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.14,Ps 7:14,13,看哪，恶人怀邪恶， 养毒害，生虚假。
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.15,Ps 7:15,14,他掘了坑，挖得太深， 竟掉在自己所挖的陷阱里。
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.16,Ps 7:16,15,他的毒害必回到自己头上， 他的残暴必落到自己的脑袋上。
zh,RCUVSS,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.17,Ps 7:17,16,我要照着耶和华的公义称谢他， 要歌颂耶和华至高者的名。
zh,RCUVSS,Ps,Ps,18,Ps.8,Ps 8,7,Ps.8.1,Ps 8:1,0,耶和华－我们的主啊， 你的名在全地何其美！ 你将你的荣耀彰显于天 。
zh,RCUVSS,Ps,Ps,18,Ps.8,Ps 8,7,Ps.8.2,Ps 8:2,1,你因敌人的缘故， 从孩童和吃奶的口中建立了能力， 使仇敌和报仇的闭口无言。
zh,RCUVSS,Ps,Ps,18,Ps.8,Ps 8,7,Ps.8.3,Ps 8:3,2,我观看你手指所造的天， 并你所陈设的月亮星宿。
zh,RCUVSS,Ps,Ps,18,Ps.8,Ps 8,7,Ps.8.4,Ps 8:4,3,人算什么，你竟顾念他！ 世人算什么，你竟眷顾他！
