languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
uk,NPU,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.1,Ps 1:1,0,"Блажен муж, що за радою несправедливих не ходить, і не стоїть на дорозі грішних, і не сидить на сидінні злоріків,"
uk,NPU,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.2,Ps 1:2,1,"та в Законі Господнім його насолода, і про Закон Його вдень та вночі він роздумує!"
uk,NPU,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.3,Ps 1:3,2,"І він буде, як дерево, над водним потоком посаджене, що родить свій плід своєдчасно, і що листя не в'яне його, і все, що він чинить, щаститься йому!"
uk,NPU,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.4,Ps 1:4,3,"Не так ті безбожні, вони як полова, що вітер її розвіває!"
uk,NPU,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.5,Ps 1:5,4,"Ось тому то не встоять безбожні на суді, ані грішники у зборі праведних,"
uk,NPU,Ps,Ps,18,Ps.1,Ps 1,0,Ps.1.6,Ps 1:6,5,"дорогу бо праведних знає Господь, а дорога безбожних загине!"
uk,NPU,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.1,Ps 2:1,0,"Чого то племена бунтують, а народи задумують марне?"
uk,NPU,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.2,Ps 2:2,1,"Земні царі повстають, і князі нараджуються разом на Господа та на Його Помазанця:"
uk,NPU,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.3,Ps 2:3,2,"Позриваймо ми їхні кайдани, і поскидаймо із себе їхні пута!"
uk,NPU,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.4,Ps 2:4,3,"Але Той, Хто на небесах пробуває посміється, Владика їх висміє!"
uk,NPU,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.5,Ps 2:5,4,"Він тоді в Своїм гніві промовить до них, і настрашить їх Він у Своїм пересерді:"
uk,NPU,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.6,Ps 2:6,5,"Я ж помазав Свого Царя на Сіон, святу гору Свою."
uk,NPU,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.7,Ps 2:7,6,"Я хочу звістити постанову: Промовив до Мене Господь: Ти Мій Син, Я сьогодні Тебе породив."
uk,NPU,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.8,Ps 2:8,7,"Жадай Ти від Мене, і дам Я народи Тобі, як спадщину Твою, володіння ж Твоє аж по кінці землі!"
uk,NPU,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.9,Ps 2:9,8,"Ти їх повбиваєш залізним жезлом, потовчеш їх, як посуд ганчарський..."
uk,NPU,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.10,Ps 2:10,9,"А тепер помудрійте, царі, навчіться ви, судді землі:"
uk,NPU,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.11,Ps 2:11,10,"Служіть Господеві зо страхом, і радійте з тремтінням!"
uk,NPU,Ps,Ps,18,Ps.2,Ps 2,1,Ps.2.12,Ps 2:12,11,"Шануйте Сина, щоб Він не розгнівався, і щоб вам не загинути в дорозі, бо гнів Його незабаром запалиться. Блаженні усі, хто на Нього надіється!"
uk,NPU,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.1,Ps 3:1,0,"Псалом Давидів, як він утікав був від перед Авесаломом, своїм сином. (3-2) Господи, як багато моїх ворогів, як багато стають проти мене!"
uk,NPU,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.2,Ps 3:2,1,(3-3) Багато-хто кажуть про душу мою: Йому в Бозі спасіння нема! Села.
uk,NPU,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.3,Ps 3:3,2,"(3-4) Але, Господи, щит Ти для мене та слава моя, і мою голову Ти підіймаєш!"
uk,NPU,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.4,Ps 3:4,3,"(3-5) Своїм голосом кличу до Господа, і Він озветься зо святої Своєї гори. Села."
uk,NPU,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.5,Ps 3:5,4,"(3-6) Я лягаю і сплю, і пробуджуюся, бо Господь підпирає мене,"
uk,NPU,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.6,Ps 3:6,5,"(3-7) і я не побоюсь десяти тисяч люду, які проти мене навколо отаборились!"
uk,NPU,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.7,Ps 3:7,6,"(3-8) Устань же, о Господи! Спаси мене, Боже мій, бо Ти разиш усіх ворогів моїх в щоку, зуби грішникам крушиш!"
uk,NPU,Ps,Ps,18,Ps.3,Ps 3,2,Ps.3.8,Ps 3:8,7,"(3-9) Спасіння від Господа, і над народом Твоїм Твоє благословення! Села."
uk,NPU,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.1,Ps 4:1,0,"Для дириґетна хору. На струнніх знаряддях. Псалом Давидів. (4-2) Коли кличу, озвися до мене, Боже правди моєї, Ти простір для мене робив у тісноті... Помилуй мене, і почуй молитву мою!"
uk,NPU,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.2,Ps 4:2,1,"(4-3) Людські сини, доки слава моя буде ганьбитись? Доки будете марне любити, шукати неправди? Села."
uk,NPU,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.3,Ps 4:3,2,"(4-4) і знайте, що святого для Себе Господь відділив, почує Господь, як я кликати буду до Нього!"
uk,NPU,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.4,Ps 4:4,3,"(4-5) Гнівайтеся, та не грішіть; на ложах своїх розмишляйте у ваших серцях, та й мовчіть! Села."
uk,NPU,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.5,Ps 4:5,4,"(4-6) Жертви правди приносьте, і надійтесь на Господа."
uk,NPU,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.6,Ps 4:6,5,"(4-7) Багато-хто кажуть: Хто нам покаже добро? Підійми ж на нас, Господи, світло Свого лиця!"
uk,NPU,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.7,Ps 4:7,6,"(4-8) Ти даєш більшу радість у серці моїм, ніж у них, як помножилося їхнє збіжжя та їхнє вино молоде."
uk,NPU,Ps,Ps,18,Ps.4,Ps 4,3,Ps.4.8,Ps 4:8,7,"(4-9) У спокої я ляжу, і засну, бо Ти, Господи, єдиний даєш мені жити безпечно!"
uk,NPU,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.1,Ps 5:1,0,"Для дириґетна хору. До флейти. Псалом Давидів. (5-2) Почуй, Господи, мову мою, стогнання моє зрозумій."
uk,NPU,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.2,Ps 5:2,1,"(5-3) Прислухайсь до голосу зойку мого, о мій Царю та Боже Ти мій, як до Тебе молитися буду!"
uk,NPU,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.3,Ps 5:3,2,"(5-4) Ти слухаєш, Господи, ранком мій голос, ранком молитися буду до Тебе та буду чекати,"
uk,NPU,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.4,Ps 5:4,3,"(5-5) бо Бог Ти не той, що несправедливости хоче, зло не буде в Тобі пробувати!"
uk,NPU,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.5,Ps 5:5,4,"(5-6) Перед очима Твоїми не втримаються гультяї, всіх злочинців ненавидиш Ти."
uk,NPU,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.6,Ps 5:6,5,"(5-7) Погубиш Ти неправдомовців, кровожерну й підступну людину обридить Господь."
uk,NPU,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.7,Ps 5:7,6,"(5-8) А я в ласці великій Твоїй до дому Твого ввійду, до Храму святого Твого вклонюся в страху Твоїм."
uk,NPU,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.8,Ps 5:8,7,"(5-9) Провадь мене, Господи, в правді Своїй задля моїх ворогів, і вирівняй передо мною дорогу Свою,"
uk,NPU,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.9,Ps 5:9,8,"(5-10) бо в їхніх устах нема правди, нутро їхнє приносить нещастя, гріб відкритий їхнє горло, свій язик вони роблять гладеньким!"
uk,NPU,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.10,Ps 5:10,9,"(5-11) Признай їх за винних, о Боже, через свої заміри хай упадуть, за їхні великі злочинства відкинь їх від Себе, бо вони проти Тебе бунтують!"
uk,NPU,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.11,Ps 5:11,10,"(5-12) А всі, хто надію на Тебе складають, хай тішаться, будуть вічно співати вони, і Ти їх охорониш, і будуть радіти Тобою, хто любить ім'я Твоє!"
uk,NPU,Ps,Ps,18,Ps.5,Ps 5,4,Ps.5.12,Ps 5:12,11,"(5-13) Бо Ти, Господи, благословлятимеш праведного, милістю вкриєш його, як щитом!"
uk,NPU,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.1,Ps 6:1,0,"Для дириґетна хору. На струнніх знаряддях. На октаву. Псалом Давидів. (6-2) Не карай мене, Господи, в гніві Своїм, не завдавай мені кари в Своїм пересерді!"
uk,NPU,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.2,Ps 6:2,1,"(6-3) Помилуй мене, Господи, я ж бо слабий, уздоров мене, Господи, бо тремтять мої кості,"
uk,NPU,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.3,Ps 6:3,2,"(6-4) і душа моя сильно стривожена, а ти, Господи, доки?"
uk,NPU,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.4,Ps 6:4,3,"(6-5) Вернися, о Господи, визволи душу мою, ради ласки Своєї спаси Ти мене!"
uk,NPU,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.5,Ps 6:5,4,"(6-6) Бож у смерті нема пам'ятання про Тебе, у шеолі ж хто буде хвалити Тебе?"
uk,NPU,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.6,Ps 6:6,5,"(6-7) Змучився я від стогнання свого, щоночі постелю свою обмиваю слізьми, сльозами своїми окроплюю ложе своє!..."
uk,NPU,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.7,Ps 6:7,6,"(6-8) Моє око зів'яло з печалі, постаріло через усіх ворогів моїх..."
uk,NPU,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.8,Ps 6:8,7,"(6-9) Відступіться від мене, усі беззаконники, бо почув Господь голос мого плачу!"
uk,NPU,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.9,Ps 6:9,8,"(6-10) Благання моє Господь вислухає, молитву мою Господь прийме,"
uk,NPU,Ps,Ps,18,Ps.6,Ps 6,5,Ps.6.10,Ps 6:10,9,"(6-11) усі мої вороги посоромлені будуть, і будуть настрашені дуже: хай вернуться, і будуть вони посоромлені зараз!"
uk,NPU,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.1,Ps 7:1,0,"Жалібна пісня Давидова, яку він співав Господеві в справі веніямінівця Куща."
uk,NPU,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.2,Ps 7:2,1,"(7-3) щоб ворог моєї душі не розшарпав, як лев, що кості ламає, й ніхто не рятує!"
uk,NPU,Ps,Ps,18,Ps.7,Ps 7,6,Ps.7.3,Ps 7:3,2,"(7-4) Господи, Боже мій, коли я таке учинив, коли є беззаконня в долонях моїх,"
