languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVT,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.1,1Tim 1:1,0,奉我們的救主上帝，和我們的盼望基督耶穌的命令，作基督耶穌使徒的 保羅 ，
zh,RCUVT,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.2,1Tim 1:2,1,寫信給那因信主作我真兒子的 提摩太 。願恩惠、憐憫、平安 從父上帝和我們主基督耶穌歸給你！
zh,RCUVT,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.3,1Tim 1:3,2,我往 馬其頓 去的時候，曾勸你留在 以弗所 ，好囑咐某些人不可傳別的教義，
zh,RCUVT,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.4,1Tim 1:4,3,也不要聽從無稽的傳說和冗長的家譜；這樣的事只會引起爭論，無助於上帝的計劃，這計劃是憑著信才能了解的。
zh,RCUVT,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.5,1Tim 1:5,4,但命令的目的就是愛；這愛是出於清潔的心、無愧的良心和無偽的信心。
zh,RCUVT,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.6,1Tim 1:6,5,有人偏離了這些而轉向空談，
zh,RCUVT,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.7,1Tim 1:7,6,想要作律法教師，卻不明白自己所講的是甚麼，也不知道所主張的是甚麼。
zh,RCUVT,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.8,1Tim 1:8,7,我們知道，只要人善用律法，律法是好的；
zh,RCUVT,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.9,1Tim 1:9,8,因為知道律法不是為義人訂立的，而是為不法和叛逆的，不虔誠和犯罪的，不聖潔和戀世俗的，弒父母和殺人的，
zh,RCUVT,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.10,1Tim 1:10,9,犯淫亂和親男色的，拐賣人口和說謊話的，並起假誓的，或是為任何違背健全教義的事訂立的。
zh,RCUVT,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.11,1Tim 1:11,10,這是按照可稱頌、榮耀之上帝交託我的福音說的。
zh,RCUVT,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.12,1Tim 1:12,11,我感謝那賜給我力量的我們的主基督耶穌，因為他認為我可信任，派我服事他。
zh,RCUVT,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.13,1Tim 1:13,12,我從前是褻瀆、迫害、侮慢上帝的人；然而我還蒙了憐憫，因為我是在不信、不明白的時候做的。
zh,RCUVT,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.14,1Tim 1:14,13,而且我們的主的恩典格外豐盛，使我在基督耶穌裏有信心和愛心。
zh,RCUVT,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.15,1Tim 1:15,14,這話可信，值得完全接受：「基督耶穌到世上來是要拯救罪人」，而在罪人中我是個罪魁。
zh,RCUVT,1Tim,1Tim,53,1Tim.1,1Tim 1,0,1Tim.1.16,1Tim 1:16,15,然而，我蒙了憐憫，好讓基督耶穌在我這罪魁身上顯明他完全的忍耐，給後來信他得永生的人作榜樣。
