languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.1,Col 1:1,0,奉上帝旨意，作基督耶稣使徒的 保罗 ，和我们的弟兄 提摩太 ，
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.2,Col 1:2,1,写信给 歌罗西 的圣徒，在基督里忠心的弟兄。愿恩惠、平安 从我们的父上帝归给你们！
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.3,Col 1:3,2,我们为你们祷告的时候，常常感谢我们主耶稣基督的父上帝 ，
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.4,Col 1:4,3,因为听见你们对基督耶稣的信心，并对众圣徒有的爱心。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.5,Col 1:5,4,这都是因着那给你们存在天上的盼望，它就是你们从前所听见真理的道，就是福音；
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.6,Col 1:6,5,这福音传到你们那里，也传到普天下，并且继续增长，不断结果，正如自从你们听见福音，真正知道上帝恩惠的日子起，在你们中间也是这样。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.7,Col 1:7,6,这福音是你们从我们所亲爱、一同作仆人的 以巴弗 学到的。他为我们 作了基督的忠心仆役，
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.8,Col 1:8,7,也把圣灵赐给你们的爱告诉我们。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.9,Col 1:9,8,因此，我们自从听见的日子就不住地为你们祷告和祈求，愿你们满有一切属灵的智慧和悟性，真正知道上帝的旨意，
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.10,Col 1:10,9,好使你们行事为人对得起主，凡事蒙他喜悦，在一切善事上结果子，对上帝的认识更有长进。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.11,Col 1:11,10,愿你们从他荣耀的权能中，得以在一切事上力上加力，好使你们凡事欢欢喜喜地忍耐宽容，
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.12,Col 1:12,11,又感谢父，使你们配与众圣徒在光明中分享基业。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.13,Col 1:13,12,他救了我们脱离黑暗的权势，迁移到他爱子的国度里。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.14,Col 1:14,13,藉着他的爱子，我们得蒙救赎，罪得赦免。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.15,Col 1:15,14,爱子是那看不见的上帝之像， 是首生的 ，在一切被造的以先。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.16,Col 1:16,15,因为万有都是在他里面 造的， 无论是天上的、地上的， 能看见的、不能看见的， 或是有权位的、统治的， 或是执政的、掌权的， 一概都是藉着他为着他造的。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.17,Col 1:17,16,他在万有之先； 万有也靠他而存在。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.18,Col 1:18,17,他是身体（教会）的头； 他是元始， 是从死人中复活的首生者， 好让他在万有中居首位。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.19,Col 1:19,18,因为上帝喜欢使一切的丰盛在他里面居住，
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.20,Col 1:20,19,藉着他 ，上帝使万有与自己和好， 无论是地上的、天上的， 都藉着他在十字架上所流的血促成了和平。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.21,Col 1:21,20,从前你们与上帝隔绝，心思上与他为敌，行为邪恶；
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.22,Col 1:22,21,但如今，他藉着他儿子肉身的死，已经使你们与他自己和好了 ，把你们献在他的面前，成为圣洁，没有瑕疵，无可指责。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.23,Col 1:23,22,只要你们持守信仰，根基稳固，坚定不移，不致动摇，离开了你们从前所听见的福音的盼望；这福音也是传给天下一切被造之物的，我— 保罗 作了这福音的仆役。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.24,Col 1:24,23,现在我为你们受苦，倒很快乐；并且为基督的身体，就是为教会，我要在自己的肉身上补满基督未尽的苦难。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.25,Col 1:25,24,我照上帝为你们所赐我的职分作了教会的仆役，要把上帝的道传得完满；
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.26,Col 1:26,25,这道就是历世历代所隐藏的奥秘，但如今向他的圣徒显明了。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.27,Col 1:27,26,上帝要让他们知道，这奥秘在外邦人中有何等丰盛的荣耀；就是基督在你们心里 成了得荣耀的盼望。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.28,Col 1:28,27,我们传扬他，是用诸般的智慧，劝戒各人，教导各人，要把各人在基督里完完全全地献上 。
zh,RCUVSS,Col,Col,50,Col.1,Col 1,0,Col.1.29,Col 1:29,28,我也为此劳苦，照着他在我里面运用的大能尽心竭力。
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.1,Col 2:1,0,我要你们知道，我为你们和 老底嘉 人，和所有没有与我见过面的人，是何等地勤奋；
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.2,Col 2:2,1,为要使他们的心得安慰，因爱心互相联络，以致有从确实了解所产生的丰盛，好深知上帝的奥秘，就是基督；
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.3,Col 2:3,2,在他里面蕴藏着一切智慧和知识。
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.4,Col 2:4,3,我说这话，免得有人用花言巧语迷惑你们。
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.5,Col 2:5,4,虽然我身体不在你们那里，心却与你们同在，很高兴见你们循规蹈矩，对基督的信心也坚固。
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.6,Col 2:6,5,既然你们接受了主基督耶稣，就要靠着他而生活，
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.7,Col 2:7,6,照着你们所领受的教导，在他里面生根建造，信心坚固，充满着感谢的心。
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.8,Col 2:8,7,你们要谨慎，免得有人用他的哲学和虚空的废话，不照着基督，而是照人间的传统和世上粗浅的学说 ，把你们掳去。
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.9,Col 2:9,8,因为上帝本性一切的丰盛都有形有体地居住在基督里面；
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.10,Col 2:10,9,你们在他里面也已经成为丰盛。他是所有执政掌权者的元首。
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.11,Col 2:11,10,你们也在他里面受了不是人手所行的割礼，而是使你们脱去肉体情欲的基督的割礼。
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.12,Col 2:12,11,你们既受洗与他一同埋葬，也就在此礼上，因信那使他从死人中复活的上帝的作为跟他一同复活。
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.13,Col 2:13,12,你们从前在过犯和未受割礼的肉体中死了，上帝却赦免了你们一切的过犯，使你们与基督一同活过来，
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.14,Col 2:14,13,涂去了在律例上所写、敌对我们、束缚我们的字据，把它撤去，钉在十字架上。
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.15,Col 2:15,14,基督既将一切执政者、掌权者的权势解除了，就在凯旋的行列中，将他们公开示众，仗着十字架夸胜。
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.16,Col 2:16,15,所以，不要让任何人在饮食上，或节期、初一、安息日等事上评断你们。
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.17,Col 2:17,16,这些原是未来的事的影子，真体却是属基督的。
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.18,Col 2:18,17,不要让人藉着故作谦虚和敬拜天使夺去你们的奖赏。这等人拘泥在所见过的幻象 ，随着自己的欲望无故地自高自大，
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.19,Col 2:19,18,不紧随元首；其实，由于他全身藉着关节筋络才得到滋养，互相联络，靠上帝所赐的成长而成长。
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.20,Col 2:20,19,既然你们与基督同死而脱离了世上粗淺的学说，为什么仍像生活在世俗中一样，去服从那“不可拿、不可尝、不可摸”等类的规条呢？
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.21,Col 2:21,20,
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.22,Col 2:22,21,这些都是根据人的命令和教导，论到这一切都是一经使用就都败坏了。
zh,RCUVSS,Col,Col,50,Col.2,Col 2,1,Col.2.23,Col 2:23,22,这些规条使人徒有智慧之名，用私意崇拜，自表谦卑，苦待己身，其实在克制肉体的情欲上毫无功效。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.1,Col 3:1,0,所以，既然你们已经与基督一同复活，就当求上面的事；那里有基督，坐在上帝的右边。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.2,Col 3:2,1,你们要思考上面的事，不要思考地上的事。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.3,Col 3:3,2,因为你们已经死了，你们的生命与基督一同藏在上帝里面。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.4,Col 3:4,3,基督是你们的生命，他显现的时候，你们也要与他一同在荣耀里显现。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.5,Col 3:5,4,所以，要治死你们在地上的肢体；就如淫乱、污秽、邪情、恶欲和贪婪—贪婪就是拜偶像。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.6,Col 3:6,5,因这些事，上帝的愤怒必临到那些悖逆的人 。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.7,Col 3:7,6,当你们在这些事中活着的时候，你们的行为也曾是这样的。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.8,Col 3:8,7,但现在你们要弃绝这一切的事，就是恼恨、愤怒、恶毒、毁谤和口中污秽的言语。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.9,Col 3:9,8,不要彼此说谎，因为你们已经脱去旧人和旧人的行为，
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.10,Col 3:10,9,穿上了新人，这新人照着造他的主的形像在知识上不断地更新。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.11,Col 3:11,10,在这事上并不分 希腊 人和 犹太 人，受割礼的和未受割礼的，未开化的人、 西古提 人、为奴的、自主的；惟独基督是一切，又在一切之内。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.12,Col 3:12,11,所以，你们既是上帝的选民，圣洁、蒙爱的人，要穿上怜悯、恩慈、谦虚、温柔和忍耐。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.13,Col 3:13,12,倘若这人与那人有嫌隙，总要彼此容忍，彼此饶恕；主 怎样饶恕了你们，你们也要怎样饶恕人。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.14,Col 3:14,13,除此以外，还要穿上爱心，因为爱是贯通全德的。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.15,Col 3:15,14,你们要让基督所赐的和平在你们心里作主，也为此蒙召，归为一体。你们还要存感谢的心。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.16,Col 3:16,15,当用各样的智慧，把基督的道丰丰富富的存在心里，用诗篇、赞美诗、灵歌，彼此教导，互相劝戒，以感恩的心歌颂上帝。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.17,Col 3:17,16,你们无论做什么，或说话或行事，都要奉主耶稣的名，藉着他感谢父上帝。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.18,Col 3:18,17,你们作妻子的，要顺服自己的丈夫，这在主里面是合宜的。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.19,Col 3:19,18,你们作丈夫的，要爱你们的妻子，不可虐待她们。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.20,Col 3:20,19,你们作儿女的，要凡事听从父母，因为这是主所喜悦的。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.21,Col 3:21,20,你们作父亲的，不要惹儿女生气，恐怕他们会灰心。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.22,Col 3:22,21,你们作仆人的，要凡事听从你们肉身的主人，不要只在眼前服事，像是讨人喜欢的，总要心存诚实，因为你们敬畏主。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.23,Col 3:23,22,你们无论做什么，都要从心里做，像是为主做的，不是为人做的；
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.24,Col 3:24,23,因为你们知道，从主那里必得着基业作为赏赐。你们要服侍的是主基督。
zh,RCUVSS,Col,Col,50,Col.3,Col 3,2,Col.3.25,Col 3:25,24,行不义的人必受不义的报应；主并不偏待人。
zh,RCUVSS,Col,Col,50,Col.4,Col 4,3,Col.4.1,Col 4:1,0,你们作主人的，待仆人要公正，因为知道，你们也有一位主在天上。
zh,RCUVSS,Col,Col,50,Col.4,Col 4,3,Col.4.2,Col 4:2,1,你们要恒切祷告，在祷告中警醒感恩。
zh,RCUVSS,Col,Col,50,Col.4,Col 4,3,Col.4.3,Col 4:3,2,同时，也要为我们祷告，求上帝给我们开传道的门，能宣讲基督的奥秘，
