languageCode,code,bookOsisId,bookSblId,bookOrderIndex,chapterOsisId,chapterSblId,chapterOrderIndex,verseOsisId,verseSblId,verseOrderIndex,text
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.1,Ruth 1:1,0,"In the days when the judges ruled, there was a famine in the land, and a man from Bethlehem in Judah, together with his wife and two sons, went to live for a while in the country of Moab."
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.2,Ruth 1:2,1,"The man's name was Elimelech, his wife's name Naomi, and the names of his two sons were Mahlon and Kilion. They were Ephrathites from Bethlehem, Judah. And they went to Moab and lived there."
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.3,Ruth 1:3,2,"Now Elimelech, Naomi's husband, died, and she was left with her two sons."
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.4,Ruth 1:4,3,"They married Moabite women, one named Orpah and the other Ruth. After they had lived there about ten years,"
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.5,Ruth 1:5,4,"both Mahlon and Kilion also died, and Naomi was left without her two sons and her husband."
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.6,Ruth 1:6,5,"When she heard in Moab that the LORD had come to the aid of his people by providing food for them, Naomi and her daughters-in-law prepared to return home from there."
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.7,Ruth 1:7,6,With her two daughters-in-law she left the place where she had been living and set out on the road that would take them back to the land of Judah.
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.8,Ruth 1:8,7,"Then Naomi said to her two daughters-in-law, ""Go back, each of you, to your mother's home. May the LORD show kindness to you, as you have shown to your dead and to me."
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.9,Ruth 1:9,8,"May the LORD grant that each of you will find rest in the home of another husband."" Then she kissed them and they wept aloud"
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.10,Ruth 1:10,9,"and said to her, ""We will go back with you to your people."""
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.11,Ruth 1:11,10,"But Naomi said, ""Return home, my daughters. Why would you come with me? Am I going to have any more sons, who could become your husbands?"
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.12,Ruth 1:12,11,"Return home, my daughters; I am too old to have another husband. Even if I thought there was still hope for me-even if I had a husband tonight and then gave birth to sons-"
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.13,Ruth 1:13,12,"would you wait until they grew up? Would you remain unmarried for them? No, my daughters. It is more bitter for me than for you, because the LORD's hand has gone out against me!"""
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.14,Ruth 1:14,13,"At this they wept again. Then Orpah kissed her mother-in-law good-by, but Ruth clung to her."
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.15,Ruth 1:15,14,"""Look,"" said Naomi, ""your sister-in-law is going back to her people and her gods. Go back with her."""
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.16,Ruth 1:16,15,"But Ruth replied, ""Don't urge me to leave you or to turn back from you. Where you go I will go, and where you stay I will stay. Your people will be my people and your God my God."
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.17,Ruth 1:17,16,"Where you die I will die, and there I will be buried. May the LORD deal with me, be it ever so severely, if anything but death separates you and me."""
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.18,Ruth 1:18,17,"When Naomi realized that Ruth was determined to go with her, she stopped urging her."
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.19,Ruth 1:19,18,"So the two women went on until they came to Bethlehem. When they arrived in Bethlehem, the whole town was stirred because of them, and the women exclaimed, ""Can this be Naomi?"""
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.20,Ruth 1:20,19,"""Don't call me Naomi, ""she told them. ""Call me Mara, because the Almighty has made my life very bitter."
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.21,Ruth 1:21,20,"I went away full, but the LORD has brought me back empty. Why call me Naomi? The LORD has afflicted me; the Almighty has brought misfortune upon me."""
en,NIV,Ruth,Ruth,7,Ruth.1,Ruth 1,0,Ruth.1.22,Ruth 1:22,21,"So Naomi returned from Moab accompanied by Ruth the Moabitess, her daughter-in-law, arriving in Bethlehem as the barley harvest was beginning."
en,NIV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.1,Ruth 2:1,0,"Now Naomi had a relative on her husband's side, from the clan of Elimelech, a man of standing, whose name was Boaz."
en,NIV,Ruth,Ruth,7,Ruth.2,Ruth 2,1,Ruth.2.2,Ruth 2:2,1,"And Ruth the Moabitess said to Naomi, ""Let me go to the fields and pick up the leftover grain behind anyone in whose eyes I find favor."" Naomi said to her, ""Go ahead, my daughter."""
